clip_name,label,delta_t,center_t
00000.wav,None,0.3599360000000616,0.5
00013.wav,None,0.359833599999547,0.5
00014.wav,None,0.28002880002304664,0.5
00015.wav,None,0.32999999999992724,0.5
00019.wav,None,0.25996160002546276,0.5
00039.wav,None,0.2300000000000182,0.5
00051.wav,None,0.2099199999997836,0.5
00056.wav,None,0.29991999999037944,0.5
00065.wav,None,0.20999679999999898,0.5
00084.wav,None,0.16000319999898238,0.5
00085.wav,None,0.33999999999991815,0.5
00088.wav,None,0.2500064000000748,0.5
00095.wav,None,0.4200447999999142,0.5
00102.wav,None,0.1800512000056642,0.5
00112.wav,None,0.300000000000182,0.5
00128.wav,None,0.22994559999960984,0.5
00135.wav,None,0.3400000000001456,0.5
00142.wav,None,0.3100960000310806,0.5
00144.wav,None,0.35983360000000175,0.5
00159.wav,None,0.25,0.5
00166.wav,None,0.1999424000248382,0.5
00168.wav,None,0.23011199996062714,0.5
00211.wav,None,0.21999360001154855,0.5
00213.wav,None,0.44999999999981816,0.5
00216.wav,None,0.16998400000011316,0.5
00222.wav,None,0.3999999999999773,0.5
00224.wav,None,0.2999999999999546,0.5
00225.wav,None,0.3699647999883382,0.5
00234.wav,None,0.3399936000000708,0.5
00252.wav,None,0.23997439999993736,0.5
00256.wav,None,0.1700000000000158,0.49999999999999994
00260.wav,None,0.3300255999999422,0.5
00283.wav,None,0.23999999999978178,0.5
00284.wav,None,0.1999679999730688,0.5
00289.wav,None,0.21005439998452857,0.5
00293.wav,None,0.17996799999991714,0.5
00299.wav,None,0.35000320000062857,0.5
00300.wav,None,0.23999999999978178,0.5
00307.wav,None,0.24000000000000915,0.5
00320.wav,None,0.34001920000002883,0.5
00324.wav,None,0.34999999999990905,0.5
00325.wav,None,0.16010560001905105,0.5
00332.wav,None,0.37989439996249535,0.5
00359.wav,None,0.49008639999988196,0.5
00375.wav,None,0.3899456000201554,0.5
00383.wav,None,0.21000000000003638,0.5
00389.wav,None,0.4500096000034546,0.5
00391.wav,None,0.47999999999998977,0.5
00393.wav,None,0.3199999999999364,0.5
00397.wav,None,0.3599999999999852,0.5
00411.wav,None,0.31992640001954,0.49999999999999994
00421.wav,None,0.2101247999999032,0.5
00432.wav,None,0.1600191999918934,0.5
00433.wav,None,0.2300000000000182,0.5
00440.wav,None,0.45000000000004553,0.5
00444.wav,None,0.23992320000002115,0.5
00449.wav,None,0.5499839999908999,0.49999999999999994
00469.wav,None,0.209920000000011,0.5
00475.wav,None,0.3400000000001456,0.5
00477.wav,None,0.2101247999999032,0.5
00480.wav,None,0.17000000000007276,0.5
00481.wav,None,0.2599775999851772,0.5
00515.wav,None,0.3600384000001214,0.5
00519.wav,None,0.15001599999982318,0.5
00520.wav,None,0.20999679999999898,0.5
00523.wav,None,0.32999040000032664,0.5
00532.wav,None,0.30996799999775254,0.5
00548.wav,None,0.15990079995026463,0.5
00599.wav,None,0.30000640000000095,0.5
00601.wav,None,0.20006720001583744,0.5
00622.wav,None,0.22000000000002734,0.5
00634.wav,None,0.4900192000002335,0.5
00635.wav,None,0.17007680003098358,0.5
00654.wav,None,0.2699264000000312,0.5
00656.wav,None,0.5201727999678951,0.5
00663.wav,None,0.47007359996882775,0.5
00698.wav,None,0.5200895999998919,0.49999999999999994
00710.wav,None,0.17010879998724704,0.5
00736.wav,None,0.30999679999999336,0.5
00768.wav,None,0.45003520003456293,0.5
00783.wav,None,0.2699999999999818,0.5
