clip_name,label,delta_t,center_t
00001.wav,Music,0.3899999999998727,0.5
00004.wav,Music,0.25997119999306056,0.5
00005.wav,Um,0.3900000000001,0.5
00006.wav,Uh,0.22001920000002434,0.5
00007.wav,Uh,0.18001920000006072,0.5
00008.wav,Words,0.44989120000900584,0.5
00009.wav,Um,0.2899999999999636,0.5
00010.wav,Um,0.32992320002131237,0.5
00011.wav,Uh,0.26999839999999864,0.5
00016.wav,Words,0.35999999999999943,0.5
00017.wav,Um,0.43003200002567604,0.4999999999999999
00020.wav,Um,0.2699999999999996,0.5
00021.wav,Music,0.5499999999999998,0.5
00022.wav,Breath,0.21000319999109257,0.5
00023.wav,Breath,0.18001919999983335,0.5
00024.wav,Words,0.24002560000008094,0.5
00026.wav,Uh,0.24002560000008094,0.5
00027.wav,Um,0.47999040001855064,0.5
00028.wav,Words,0.26992639999980383,0.5
00029.wav,Um,0.3599360000000616,0.5
00030.wav,Uh,0.3300672000268606,0.5
00031.wav,Um,0.48001599998247,0.5
00033.wav,Um,0.3599999999999,0.5
00034.wav,Uh,0.3000064000051452,0.5
00035.wav,Uh,0.17999999999994998,0.5
00036.wav,Music,0.22000000000002734,0.5
00038.wav,Uh,0.24002560000008094,0.5
00040.wav,Um,0.30999040000665445,0.5
00041.wav,Breath,0.42999999999983635,0.5
00042.wav,Laughter,0.3800000000001092,0.5
00043.wav,Um,0.44000000000005457,0.5
00044.wav,Words,0.22002559999987176,0.5
00045.wav,Breath,0.16999999999995913,0.5
00046.wav,Um,0.4800000000000182,0.5
00047.wav,Uh,0.40001600002074156,0.5
00048.wav,Um,0.3500000000000228,0.5
00049.wav,Uh,0.43999360003977017,0.5
00052.wav,Music,0.5399999999999636,0.5
00054.wav,Words,0.2101247999999032,0.5
00055.wav,Words,0.4999743999653674,0.5
00057.wav,Uh,0.30004800002211596,0.5
00058.wav,Breath,0.3501087998770345,0.5
00059.wav,Um,0.36004479998769057,0.5
00060.wav,Words,0.34004160000495176,0.5
00061.wav,Laughter,0.21000000004073632,0.5
00062.wav,Laughter,0.4600543999240472,0.5
00064.wav,Uh,0.34998399999210505,0.5
00067.wav,Uh,0.5099999999999909,0.5
00068.wav,Uh,0.39998080019449844,0.5
00069.wav,Uh,0.33013759999994363,0.5
00070.wav,Um,0.4300000000000637,0.5
00072.wav,Words,0.21002240000007077,0.5
00073.wav,Um,0.5399999999999636,0.5
00074.wav,Um,0.47002240001256723,0.5
00075.wav,Music,0.44994559999986455,0.5
00076.wav,Um,0.25,0.5
00077.wav,Um,0.5399999999999636,0.5
00078.wav,Music,0.17999999999999616,0.5
00079.wav,Um,0.42000000000007276,0.5
00080.wav,Uh,0.3899327998915396,0.5
00081.wav,Uh,0.39004160000013144,0.5
00082.wav,Um,0.5299776000071006,0.5
00083.wav,Words,0.15993919999800715,0.5
00086.wav,Um,0.40000000000009095,0.5
00087.wav,Uh,0.23999999999978178,0.5
00089.wav,Um,0.330137600000171,0.5
00090.wav,Words,0.2600255999913088,0.5
00091.wav,Music,0.30999999999994543,0.5
00092.wav,Uh,0.30000640000002937,0.5
00093.wav,Um,0.4800000000000182,0.5
00094.wav,Uh,0.36000000000001364,0.5
00096.wav,Uh,0.22999360000130764,0.5
00098.wav,Laughter,0.3900448000231336,0.5
00099.wav,Breath,0.3999168000227656,0.5
00100.wav,Um,0.4800000000000182,0.5
00101.wav,Words,0.22999679999992395,0.5
00104.wav,Music,0.370000000000001,0.5
00105.wav,Laughter,0.15000000000009095,0.5
00106.wav,Uh,0.42000000000007276,0.5
00107.wav,Um,0.2400255999996262,0.5
00109.wav,Words,0.25,0.5
00111.wav,Uh,0.42994560003148763,0.5
00113.wav,Um,0.4600000000000364,0.5
00114.wav,Words,0.26997120001647096,0.5
00115.wav,Uh,0.26000000000021833,0.5
00116.wav,Um,0.45998400000002,0.5
00119.wav,Breath,0.15003519999072523,0.5
00120.wav,Um,0.2099199999997836,0.5
00121.wav,Uh,0.1500832000169794,0.5
00123.wav,Breath,0.5199999999999818,0.5
00124.wav,Um,0.38010239996083334,0.5
00125.wav,Laughter,0.34007680001468543,0.5
00126.wav,Um,0.3599679999838372,0.5
00127.wav,Words,0.18001920000006072,0.5
00129.wav,Um,0.4300000000000637,0.5
00131.wav,Um,0.3899711999986266,0.5
00132.wav,Words,0.22987519997650457,0.5
00133.wav,Uh,0.4899904000008064,0.5
00134.wav,Um,0.47000000000002734,0.5
00137.wav,Um,0.1998880000444388,0.5
00138.wav,Um,0.320032000004403,0.5
00139.wav,Uh,0.2699999999999818,0.5
00140.wav,Words,0.5099968000000104,0.5
00141.wav,Words,0.2101247999999032,0.5
00143.wav,Words,0.21999680000016042,0.5
00145.wav,Breath,0.23982079999996136,0.5
00147.wav,Breath,0.5099999999999909,0.5
00148.wav,Uh,0.2599871999739208,0.5
00149.wav,Um,0.21997759999112537,0.5
00150.wav,Um,0.42994560001011456,0.5
00151.wav,Words,0.23000639999213496,0.5
00152.wav,Words,0.2000064000007456,0.5
00153.wav,Breath,0.20999999999999996,0.5
00154.wav,Words,0.30003200000010116,0.5
00155.wav,Um,0.32993280000982855,0.5
00156.wav,Words,0.2698656000402479,0.5
00157.wav,Um,0.30003199999964636,0.5
00158.wav,Words,0.24002560000008094,0.5
00160.wav,Words,0.25999999999999096,0.5
00161.wav,Uh,0.3201087998622825,0.5
00162.wav,Words,0.4299359999586159,0.5
00163.wav,Breath,0.3000095999967698,0.5
00164.wav,Music,0.21999999999999975,0.5
00165.wav,Words,0.4599807999999826,0.5
00167.wav,Uh,0.18012159999989313,0.5
00170.wav,Uh,0.16002879999768987,0.5
00171.wav,Uh,0.4800000000000182,0.5
00172.wav,Breath,0.1900191999709478,0.5
00173.wav,Uh,0.25998719999768133,0.5
00174.wav,Um,0.41991040002426416,0.5
00177.wav,Uh,0.42999999999995,0.5
00178.wav,Words,0.2699200001070494,0.5
00179.wav,Music,0.2999999999999998,0.5
00181.wav,Um,0.5200063999802751,0.5
00182.wav,Uh,0.26992639999980383,0.5
00183.wav,Words,0.32000000000005,0.5
00184.wav,Um,0.5099519999998847,0.5
00185.wav,Um,0.5299999999999727,0.5
00186.wav,Words,0.15000319999995781,0.5
00187.wav,Words,0.47996480002848335,0.5
00188.wav,Words,0.2099968000000274,0.5
00189.wav,Words,0.39014399999996385,0.5
00191.wav,Words,0.3000512000077152,0.5
00192.wav,Uh,0.30999999999994543,0.5
00193.wav,Um,0.45000000000004553,0.5
00194.wav,Laughter,0.15000000000009095,0.5
00195.wav,Um,0.3900000000001,0.5
00196.wav,Words,0.23961600000029654,0.5
00197.wav,Uh,0.18996799972592276,0.5
00198.wav,Uh,0.3900352000109706,0.5
00199.wav,Um,0.44997439991539073,0.5
00200.wav,Words,0.23997439999993736,0.5
00201.wav,Words,0.3300351999999976,0.5
00202.wav,Um,0.4499456000000919,0.5
00203.wav,Um,0.4800000000000182,0.5
00204.wav,Uh,0.24011520000340175,0.5
00205.wav,Um,0.27999999999997277,0.5
00206.wav,Uh,0.4100031999544172,0.5
00207.wav,Um,0.3000127999997062,0.5
00208.wav,Um,0.4700384000479972,0.5
00209.wav,Laughter,0.27999999999997277,0.5
00212.wav,Music,0.4499455999999782,0.5
00215.wav,Breath,0.4800511999999344,0.5
00218.wav,Uh,0.3099487999926396,0.5
00219.wav,Um,0.389999999999759,0.5
00220.wav,Words,0.2900095999999906,0.5
00221.wav,Breath,0.16000000000008185,0.5
00223.wav,Uh,0.4400095999998826,0.5
00226.wav,Music,0.17999999999983635,0.5
00227.wav,Words,0.2300000000000182,0.5
00228.wav,Words,0.15000000000009095,0.5
00229.wav,Um,0.2400255999996262,0.5
00230.wav,Uh,0.27999999999997277,0.5
00231.wav,Uh,0.5199999999999818,0.5
00232.wav,Uh,0.32000000000016376,0.5
00233.wav,Um,0.5199999999999818,0.5
00236.wav,Words,0.23993280003514883,0.5
00237.wav,Words,0.16000320000273405,0.5
00238.wav,Um,0.39004160000013144,0.5
00239.wav,Um,0.5400447999841164,0.49999999999999994
00240.wav,Words,0.19000000000005457,0.5
00241.wav,Uh,0.480051199999707,0.5
00242.wav,Um,0.32998399999996764,0.5
00243.wav,Uh,0.45999680000022636,0.5
00244.wav,Uh,0.28000640000152544,0.5
00245.wav,Uh,0.3600383999996666,0.5
00246.wav,Music,0.45000000000004553,0.5
00247.wav,Breath,0.17999999999994998,0.5
00248.wav,Uh,0.41000000000008185,0.5
00249.wav,Words,0.23006719998375053,0.5
00250.wav,Uh,0.31002240001612336,0.5
00251.wav,Uh,0.369990400000745,0.5
00253.wav,Music,0.490000000000002,0.5
00254.wav,Uh,0.26992639999980383,0.5
00255.wav,Uh,0.3700383999835141,0.5
00258.wav,Um,0.2699999999999818,0.5
00259.wav,Words,0.37001600003532076,0.5
00261.wav,Laughter,0.3099327999866546,0.5
00262.wav,Uh,0.18999999999999778,0.5
00264.wav,Words,0.5099392000279295,0.5
00265.wav,Uh,0.3399168000339614,0.5
00266.wav,Uh,0.29008000000635553,0.5
00267.wav,Words,0.330000000000041,0.5
00268.wav,Um,0.37000319999901876,0.5
00269.wav,Words,0.21016319995078453,0.5
00270.wav,Words,0.20002880002607532,0.5
00271.wav,Um,0.4399999999999978,0.5
00272.wav,Uh,0.21000640004490378,0.5
00273.wav,Um,0.39999680000425997,0.5
00276.wav,Laughter,0.34995839997236544,0.5
00277.wav,Um,0.239974400000051,0.5
00278.wav,Breath,0.23994879997690077,0.5
00279.wav,Breath,0.47001599999998694,0.5
00280.wav,Words,0.41997439999317976,0.5
00281.wav,Breath,0.4300000000000068,0.5
00285.wav,Um,0.20000640000375824,0.5
00286.wav,Words,0.19000000000005457,0.5
00288.wav,Laughter,0.5299232000106713,0.5
00290.wav,Um,0.5099999999999909,0.5
00291.wav,Breath,0.2599936000034404,0.5
00292.wav,Words,0.2200128000003474,0.5
00294.wav,Words,0.46000000000000796,0.5
00295.wav,Words,0.22999040000013338,0.5
00296.wav,Uh,0.3799776000020074,0.5
00297.wav,Words,0.21993599998222635,0.5
00298.wav,Uh,0.44000000000005457,0.5
00301.wav,Um,0.37989440004753305,0.5
00302.wav,Um,0.38984320000008665,0.5
00303.wav,Words,0.20007359999522123,0.5
00304.wav,Words,0.18022399999995292,0.5
00305.wav,Laughter,0.17999999999994998,0.5
00306.wav,Um,0.2999999999999546,0.5
00308.wav,Um,0.4299936000022626,0.5
00309.wav,Words,0.15001599999999377,0.5
00310.wav,Uh,0.5199999999999818,0.5
00311.wav,Breath,0.2699999999999818,0.5
00312.wav,Breath,0.38004159997285575,0.5
00313.wav,Uh,0.45999999999983743,0.5
00314.wav,Breath,0.17999999999994998,0.5
00315.wav,Breath,0.26999359998876576,0.5
00316.wav,Words,0.17981439999994114,0.5
00317.wav,Words,0.15001600000005055,0.5
00319.wav,Breath,0.32002560000103136,0.5
00321.wav,Breath,0.4200127999770302,0.5
00322.wav,Uh,0.279913600015334,0.5
00326.wav,Um,0.44000000000005457,0.5
00328.wav,Breath,0.3599999999999852,0.5
00329.wav,Um,0.43009599997367337,0.5
00330.wav,Words,0.2400255999996262,0.5
00331.wav,Um,0.4700223999677746,0.5
00334.wav,Words,0.27986559999953897,0.5
00335.wav,Words,0.2600480000011203,0.5
00336.wav,Uh,0.36997760000156177,0.5
00337.wav,Uh,0.2300223997908688,0.5
00338.wav,Um,0.44981119999692964,0.5
00339.wav,Laughter,0.289951999978257,0.5
00340.wav,Uh,0.26000000000021833,0.5
00341.wav,Um,0.4800000000000182,0.5
00342.wav,Words,0.18012800008409618,0.5
00343.wav,Words,0.23992639997118215,0.5
00344.wav,Words,0.4101311999670543,0.5
00345.wav,Um,0.33999679999999444,0.5
00346.wav,Breath,0.2701311999999234,0.5
00347.wav,Words,0.24002560000008094,0.5
00349.wav,Music,0.2700000000000005,0.5
00350.wav,Breath,0.21997119999889497,0.5
00351.wav,Words,0.2400255999999672,0.5
00352.wav,Um,0.5300000000000011,0.5
00353.wav,Um,0.5,0.5
00354.wav,Uh,0.3499839999941514,0.5
00355.wav,Words,0.32003520000228036,0.5
