clip_name,label,delta_t,center_t
68730.wav,None,0.1700000000000158,0.4999999999999999
34953.wav,Music,0.4299999999998363,0.5
09034.wav,Um,0.4800000000000041,0.5
44041.wav,Words,0.3299872000229698,0.5
80076.wav,Words,0.1700223999996524,0.5
74085.wav,None,0.349999999999909,0.5
52633.wav,Laughter,0.349999999999909,0.5
25966.wav,Um,0.6000000000000227,0.5
83557.wav,Laughter,0.1501183999998829,0.5
42986.wav,Um,0.1800000000000637,0.5
45690.wav,Uh,0.2599744000059446,0.5
21687.wav,Words,0.2400256000000809,0.5
40046.wav,Uh,0.2998271999999816,0.5
22162.wav,Music,0.4600000000000364,0.5
13208.wav,Music,0.3899999999998727,0.5
51084.wav,None,0.3399583999885181,0.5
51045.wav,Uh,0.2699999999999818,0.5
55970.wav,Um,0.320108799976424,0.5
32368.wav,Words,0.3301056000345852,0.5
20510.wav,None,0.7800832000002629,0.5
37772.wav,Um,0.229932799956714,0.5
21974.wav,None,0.2400256000003083,0.5
03736.wav,Um,0.5499999999999545,0.5
49770.wav,None,0.2499999999948841,0.5
25257.wav,Breath,0.2899712000621548,0.5
40288.wav,Uh,0.4300063999992858,0.5
77101.wav,Words,0.2999808000000712,0.5
45170.wav,Music,0.3099999999999454,0.5
58877.wav,Words,0.1799968000000263,0.5
37593.wav,Um,0.5599999999999455,0.4999999999999999
38947.wav,Um,0.4900000000000091,0.5
78327.wav,Laughter,0.2899999999999636,0.5
21353.wav,Uh,0.4600128000001007,0.5
56415.wav,Uh,0.2799135999825922,0.5
10128.wav,Um,0.3799263999867435,0.5
73282.wav,None,0.319926399988617,0.5
67692.wav,Breath,0.1800000000000068,0.5
23897.wav,Um,0.5700095999854966,0.5
61185.wav,None,0.2398207999999613,0.5
47004.wav,Uh,0.2400256000000809,0.5
04852.wav,Words,0.3600192000137667,0.5
21135.wav,Music,0.300003199999999,0.5
05580.wav,Breath,0.2399327999892193,0.5
08298.wav,Laughter,0.1599999999999681,0.5
37202.wav,Um,0.4299999999998363,0.5
48882.wav,Uh,0.3200000000000003,0.5
54141.wav,Uh,0.3200000000057343,0.5
33544.wav,Uh,0.5100320000376541,0.5
47966.wav,None,0.260038399998507,0.5
33807.wav,Music,0.4400000000000545,0.5
73735.wav,Words,0.1599999999998545,0.5
31850.wav,Words,0.2401279999999133,0.5
62798.wav,Um,0.2699263999998038,0.5
26523.wav,Words,0.1500096000379471,0.5
03423.wav,None,0.1700031999999396,0.5
71578.wav,Uh,0.3900416000001314,0.5
53338.wav,Words,0.1500160000000505,0.5
41643.wav,Uh,0.2899904000000504,0.5
16064.wav,Um,0.3699712000111503,0.5
62173.wav,Words,0.1500191999853087,0.5
53389.wav,Words,0.3399967999997102,0.5
37357.wav,Uh,0.3799999999999954,0.5
04675.wav,Uh,0.1900095999992573,0.5
43490.wav,Words,0.209920000000011,0.5
55508.wav,Words,0.199993600002358,0.4999999999999999
01215.wav,Um,0.3700128000184577,0.5
64624.wav,Laughter,0.4199424000000817,0.5
28635.wav,Um,0.4700320000049487,0.5
37942.wav,Um,0.280102400019132,0.5
37106.wav,Uh,0.5599999999999455,0.4999999999999999
63871.wav,Um,0.3899999999999863,0.5
07629.wav,Um,0.3199904000004494,0.5
38091.wav,Uh,0.569977599984668,0.5
78129.wav,Uh,0.2400000000000091,0.5
66512.wav,Words,0.3199807999994277,0.5
65779.wav,Laughter,0.2100511999904029,0.5
69518.wav,Words,0.209920000000011,0.5
51788.wav,Words,0.1800000000000068,0.5
34569.wav,Uh,0.2699840000161658,0.5
81986.wav,Uh,0.3099999999999454,0.5
65271.wav,None,0.2799871999999937,0.5
00985.wav,Uh,0.3899999999999863,0.5
76640.wav,Music,0.3600000000001274,0.5
51781.wav,Uh,0.259936000021753,0.5
06111.wav,Laughter,0.349999999999909,0.5
71554.wav,Uh,0.3600000000000136,0.5
71876.wav,None,0.2300000000000182,0.5
28156.wav,Words,0.3099935999662194,0.5
01164.wav,None,0.4200512000215895,0.5
53346.wav,Um,0.3500031999999464,0.5
02740.wav,Uh,0.490016000001333,0.5
21866.wav,Music,0.6000000000000014,0.5
59518.wav,None,0.2700032000000192,0.5
81235.wav,Words,0.1900000000000545,0.5
08584.wav,None,0.1998848000002908,0.5
10339.wav,Words,0.3000320000001011,0.5
10246.wav,Laughter,0.5,0.5
22040.wav,Words,0.4700448000421602,0.5
57241.wav,Uh,0.2099904000042443,0.5
22677.wav,Uh,0.3599039999812704,0.5
42496.wav,None,0.2599487999798384,0.5
04244.wav,Words,0.1500160000000505,0.5
81405.wav,Breath,0.1899967999884211,0.5
09958.wav,Um,0.3999999999999773,0.5
09617.wav,Um,0.3000319999998738,0.5
11538.wav,Music,0.8299999999999274,0.4999999999999999
78275.wav,Uh,0.1700031999999965,0.5
36309.wav,Words,0.3500064000005523,0.5
74418.wav,None,0.3299680000168337,0.5
51663.wav,Breath,0.3699455999862948,0.5
73019.wav,Laughter,0.1800000000000637,0.5
80260.wav,Um,0.2599999999999909,0.5
